Label,ID,Latitude,Longitude
Comox Airport,YQQ,49.71080017,-124.887001
Regina International Airport,YQR,50.43190002,-104.6660004
Thunder Bay Airport,YQT,48.37189865,-89.32389832
Grande Prairie Airport,YQU,55.17969894,-118.8850021
Yorkton Municipal Airport,YQV,51.26470184,-102.461998
North Battleford Airport,YQW,52.76919937,-108.2440033
Gander International Airport,YQX,48.93690109,-54.56809998
Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798
Quesnel Airport,YQZ,53.02610016,-122.5100021
Resolute Bay Airport,YRB,74.71690369,-94.9693985
Rivi�re-du-Loup Airport,YRI,47.76440048,-69.58470154
Roberval Airport,YRJ,48.52000046,-72.26560211
Rocky Mountain House Airport,YRM,52.42969894,-114.9039993
Rankin Inlet Airport,YRT,62.81140137,-92.11579895
Sudbury Airport,YSB,46.625,-80.79889679
Sherbrooke Airport,YSC,45.43859863,-71.69139862
Saint John Airport,YSJ,45.31610107,-65.89029694
Fort Smith Airport,YSM,60.02030182,-111.961998
Nanisivik Airport,YSR,72.982201,-84.613602
Summerside Airport,YSU,46.44060135,-63.83359909
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.99389648,-125.2429962
Cape Dorset Airport,YTE,64.23000336,-76.52670288
Thompson Airport,YTH,55.80110168,-97.86419678
CFB Trenton,YTR,44.1189003,-77.52809906
Timmins/Victor M. Power,YTS,48.56969833,-81.37670136
Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,YUB,69.4332962,-133.026001
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.47060013,-73.74079895
Repulse Bay Airport,YUT,66.52140045,-86.22470093
Hall Beach Airport,YUX,68.77610016,-81.2425
Rouyn Noranda Airport,YUY,48.20610046,-78.83560181
La Ronge Airport,YVC,55.15140152,-105.262001
Vermilion Airport,YVG,53.35580063,-110.8239975
Qikiqtarjuaq Airport,YVM,67.54579926,-64.03140259
Val-d'Or Airport,YVO,48.05329895,-77.78279877
Kuujjuaq Airport,YVP,58.09609985,-68.42690277
Norman Wells Airport,YVQ,65.28160095,-126.7979965
Vancouver International Airport,YVR,49.19390106,-123.1839981
Buffalo Narrows Airport,YVT,55.84189987,-108.4179993
Wiarton Airport,YVV,44.7458,-81.107201
Petawawa Airport,YWA,45.95220184,-77.31919861
Winnipeg / James Armstrong Richardson International Airport,YWG,49.90999985,-97.23989868
Wabush Airport,YWK,52.9219017,-66.86440277
Williams Lake Airport,YWL,52.18310165,-122.0540009
Wrigley Airport,YWY,63.20940018,-123.4369965
Cranbrook/Canadian Rockies International Airport,YXC,49.6108017,-115.7819977
Edmonton City Centre (Blatchford Field) Airport,YXD,53.57249832,-113.5210037
Saskatoon John G. Diefenbaker International Airport,YXE,52.17079926,-106.6999969
Medicine Hat Airport,YXH,50.01890182,-110.7210007
Fort St John Airport,YXJ,56.23809814,-120.7399979
Sioux Lookout Airport,YXL,50.11389923,-91.90529633
Pangnirtung Airport,YXP,66.14499664,-65.71360016
Earlton (Timiskaming Regional) Airport,YXR,47.69740065,-79.84734535
Prince George Airport,YXS,53.88940048,-122.6790009
Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009
London Airport,YXU,43.035599,-81.1539
Abbotsford Airport,YXX,49.02529907,-122.3610001
Whitehorse / Erik Nielsen International Airport,YXY,60.70959854,-135.0670013
North Bay Jack Garland Airport,YYB,46.363602,-79.422798
Calgary International Airport,YYC,51.11389923,-114.0199966
Smithers Airport,YYD,54.8246994,-127.1829987
Fort Nelson Airport,YYE,58.83639908,-122.5970001
Penticton Airport,YYF,49.46310043,-119.6019974
Charlottetown Airport,YYG,46.29000092,-63.12110138
Taloyoak Airport,YYH,69.54669952,-93.5766983
Victoria International Airport,YYJ,48.64690018,-123.4260025
Lynn Lake Airport,YYL,56.86389923,-101.0759964
Swift Current Airport,YYN,50.29190063,-107.6910019
Churchill Airport,YYQ,58.73920059,-94.06500244
Goose Bay Airport,YYR,53.31919861,-60.42580032
St. John's International Airport,YYT,47.61859894,-52.75189972
Kapuskasing Airport,YYU,49.41389847,-82.46749878
Armstrong Airport,YYW,50.29029846,-88.90969849
Mont Joli Airport,YYY,48.60860062,-68.20809937
Lester B. Pearson International Airport,YYZ,43.67720032,-79.63059998
Downsview Airport,YZD,43.74250031,-79.46559906
Gore Bay Manitoulin Airport,YZE,45.88529968,-82.56780243
Yellowknife Airport,YZF,62.46279907,-114.4400024
Slave Lake Airport,YZH,55.29309845,-114.7770004
Sandspit Airport,YZP,53.25429916,-131.8139954
Chris Hadfield Airport,YZR,42.99940109,-82.30889893
Port Hardy Airport,YZT,50.68059921,-127.3669968
Whitecourt Airport,YZU,54.14390182,-115.7870026
Sept-�les Airport,YZV,50.22330093,-66.26560211
Teslin Airport,YZW,60.17279816,-132.7429962
CFB Greenwood,YZX,44.9844017,-64.91690063
Faro Airport,ZFA,62.20750046,-133.3760071
Fort Mcpherson Airport,ZFM,67.40750122,-134.8609924
Blida Airport,QLD,36.50360107,2.814169884
Bou Saada Airport,BUJ,35.33250046,4.206389904
Soummam Airport,BJA,36.7120018,5.069920063
Houari Boumediene Airport,ALG,36.69100189,3.215409994
Djanet Inedbirene Airport,DJG,24.292801,9.45244
Illizi Takhamalt Airport,VVZ,26.7234993,8.622650146
Aguenar � Hadj Bey Akhamok Airport,TMR,22.81150055,5.451079845
Jijel Ferhat Abbas Airport,GJL,36.79510117,5.87361002
Mecheria Airport,MZW,33.53590012,-0.242353007
Rabah Bitat Airport,AAE,36.822201,7.809174
Mohamed Boudiaf International Airport,CZL,36.27600098,6.620389938
Cheikh Larbi T�bessi Airport,TEE,35.43159866,8.12071991
Hassi R'Mel Airport,HRM,32.93040085,3.311539888
Bou Chekif Airport,TID,35.34109879,1.463150024
Tindouf Airport,TIN,27.7003994,-8.167099953
Ech Cheliff Airport,CFK,36.21269989,1.331769943
Tafaraoui Airport,TAF,35.54240036,-0.532278001
Zenata � Messali El Hadj Airport,TLM,35.01670074,-1.450000048
Es Senia Airport,ORN,35.62390137,-0.621182978
Sidi Bel Abbes Airport,BFW,35.17179871,-0.593275011
Ghriss Airport,MUW,35.20769882,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,27.83760071,-0.186414003
Biskra Airport,BSK,34.79330063,5.738230228
El Golea Airport,ELG,30.57130051,2.859590054
Noum�rat - Moufdi Zakaria Airport,GHA,32.38410187,3.79411006
Oued Irara Airport,HME,31.67300034,6.140439987
In Salah Airport,INZ,27.25099945,2.512020111
Touggourt Sidi Madhi Airport,TGR,33.06779861,6.088669777
Laghouat Airport,LOO,33.76440048,2.928339958
Timimoun Airport,TMX,29.2371006,0.276033014
Ain el Beida Airport,OGX,31.91720009,5.412779808
In Am�nas Airport,IAM,28.0515,9.64291
Cadjehoun Airport,COO,6.357230186,2.384350061
Ouagadougou Airport,OUA,12.3532,-1.51242
Bobo Dioulasso Airport,BOY,11.16009998,-4.33096981
Kotoka International Airport,ACC,5.6051898,-0.166786
Tamale Airport,TML,9.557189941,-0.863214016
Sunyani Airport,NYI,7.361830235,-2.328759909
Takoradi Airport,TKD,4.89605999,-1.774760008
Port Bouet Airport,ABJ,5.261390209,-3.926290035
Bouak� Airport,BYK,7.738800049,-5.07366991
Daloa Airport,DJO,6.792809963,-6.473189831
Korhogo Airport,HGO,9.387180328,-5.556660175
Man Airport,MJC,7.272069931,-7.587359905
San Pedro Airport,SPY,4.746719837,-6.660820007
Yamoussoukro Airport,ASK,6.903170109,-5.365580082
Nnamdi Azikiwe International Airport,ABV,9.006790161,7.263169765
Akure Airport,AKR,7.246739864,5.301010132
Benin Airport,BNI,6.316979885,5.599500179
Margaret Ekpo International Airport,CBQ,4.976019859,8.347200394
Akanu Ibiam International Airport,ENU,6.474269867,7.56196022
Ibadan Airport,IBA,7.362460136,3.978329897
Ilorin International Airport,ILR,8.440210342,4.493919849
Yakubu Gowon Airport,JOS,9.639829636,8.869050026
Kaduna Airport,KAD,10.6960001,7.320109844
Mallam Aminu International Airport,KAN,12.0476,8.52462
Maiduguri International Airport,MIU,11.85529995,13.08090019
Makurdi Airport,MDI,7.70388,8.61394
Murtala Muhammed International Airport,LOS,6.577370167,3.321160078
Minna Airport,MXJ,9.652170181,6.462259769
Port Harcourt International Airport,PHC,5.015490055,6.949590206
Sadiq Abubakar III International Airport,SKO,12.91629982,5.207190037
Yola Airport,YOL,9.25755024,12.43039989
Zaria Airport,ZAR,11.1302,7.68581
Maradi Airport,MFQ,13.50249958,7.126749992
Diori Hamani International Airport,NIM,13.4815,2.18361
Tahoua Airport,THZ,14.8757,5.265359879
Mano Dayak International Airport,AJY,16.9659996,8.000109673
Zinder Airport,ZND,13.77900028,8.98375988
Monastir Habib Bourguiba International Airport,MIR,35.7580986,10.75469971
Tunis Carthage International Airport,TUN,36.85100174,10.22719955
Gafsa Ksar International Airport,GAF,34.42200089,8.822500229
Gab�s Matmata International Airport,GAE,33.87689972,10.10330009
Djerba Zarzis International Airport,DJE,33.875,10.7755003
El Borma Airport,EBM,31.70429993,9.254619598
Sfax Thyna International Airport,SFA,34.7179985,10.69099998
Tozeur Nefta International Airport,TOE,33.93970108,8.110560417
Niamtougou International Airport,LRL,9.76733017,1.091249943
Lom�-Tokoin Airport,LFW,6.165609837,1.254510045
Antwerp International Airport (Deurne),ANR,51.18939972,4.460279942
Brussels Airport,BRU,50.90140152,4.48443985
Brussels South Charleroi Airport,CRL,50.459202,4.45382
Wevelgem Airport,KJK,50.81719971,3.20472002
Li�ge Airport,LGG,50.63740158,5.443220139
Ostend-Bruges International Airport,OST,51.19889832,2.862220049
Zoersel (Oostmalle) Airfield,OBL,51.264702,4.75333
Altenburg-Nobitz Airport,AOC,50.981945,12.506389
Riesa-G�hlis Airport,IES,51.29360962,13.35611057
Rechlin-L�rz Airport,REB,53.30638886,12.75222206
Sch�nhagen Airport,QXH,52.203609,13.156389
Barth Airport,BBH,54.338253,12.710515
"Magdeburg ""City"" Airport",ZMG,52.073612,11.626389
Cottbus-Drewitz Airport,CBU,51.889442,14.531944
Berlin-Sch�nefeld Airport,SXF,52.380001,13.5225
Dresden Airport,DRS,51.13280106,13.76720047
Erfurt Airport,ERF,50.97980118,10.95810032
Frankfurt am Main Airport,FRA,50.033333,8.570556
M�nster Osnabr�ck Airport,FMO,52.13460159,7.684830189
Hamburg Airport,HAM,53.63040161,9.988229752
Berlin-Tempelhof International Airport,THF,52.47299957,13.40390015
Cologne Bonn Airport,CGN,50.86589813,7.142739773
D�sseldorf Airport,DUS,51.289501,6.76678
Munich Airport,MUC,48.353802,11.7861
Nuremberg Airport,NUE,49.498699,11.078056
Leipzig/Halle Airport,LEJ,51.423889,12.236389
Saarbr�cken Airport,SCN,49.21459961,7.109509945
Stuttgart Airport,STR,48.68989944,9.221960068
Berlin-Tegel Airport,TXL,52.5597,13.2877
Hannover Airport,HAJ,52.46110153,9.685079575
Bremen Airport,BRE,53.04750061,8.786669731
Frankfurt-Egelsbach Airport,QEF,49.959999,8.645833
Frankfurt-Hahn Airport,HHN,49.9487,7.26389
Mannheim-City Airport,MHG,49.473057,8.514167
Eisenach-Kindel Airport,EIB,50.991604,10.47973
Siegerland Airport,SGE,50.70769882,8.082969666
Hamburg-Finkenwerder Airport,XFW,53.53527832,9.83555603
Kiel-Holtenau Airport,KEL,54.37944412,10.14527798
L�beck Blankensee Airport,LBC,53.80540085,10.71920013
Essen Mulheim Airport,ESS,51.40230179,6.937329769
Bielefeld Airport,BFE,51.964722,8.544444
M�nchengladbach Airport,MGL,51.230278,6.504444
Paderborn Lippstadt Airport,PAD,51.61410141,8.616319656
Dortmund Airport,DTM,51.5182991,7.612239838
Augsburg Airport,AGB,48.425278,10.931667
Oberpfaffenhofen Airport,OBF,48.081402,11.2831
Straubing Airport,RBM,48.90083313,12.51666737
Friedrichshafen Airport,FDH,47.67129898,9.511489868
Schwerin Parchim Airport,SZW,53.426998,11.7834
Bayreuth Airport,BYU,49.985001,11.64
Burg Feuerstein Airport,URD,49.79416656,11.13361073
Hof-Plauen Airport,HOQ,50.28861237,11.85638905
Zweibr�cken Airport,ZQW,49.2094,7.40056
Donaueschingen-Villingen Airport,ZQL,47.97333145,8.522221565
Braunschweig-Wolfsburg Airport,BWE,52.319199,10.5561
Kassel-Calden Airport,KSF,51.417273,9.384967
Bremerhaven Airport,BRV,53.506943,8.572778
Emden Airport,EME,53.391109,7.2275
Wilhelmshaven-Mariensiel Airport,WVN,53.50222015,8.052222252
Borkum Airport,BMK,53.59639,6.709167
Norderney Airport,NRD,53.70694351,7.230000019
Flensburg-Sch�ferhaus Airport,FLF,54.7733345,9.378889084
Westerland Sylt Airport,GWT,54.91320038,8.340470314
K�rdla Airport,KDL,58.99079895,22.83069992
Kuressaare Airport,URE,58.22990036,22.5095005
P�rnu Airport,EPU,58.41899872,24.4727993
Lennart Meri Tallinn Airport,TLL,59.41329956,24.83279991
Tartu Airport,TAY,58.30749893,26.69039917
Enontekio Airport,ENF,68.36260223,23.42429924
Halli Airport,KEV,61.856039,24.786686
Helsinki Malmi Airport,HEM,60.25460052,25.0428009
Helsinki Vantaa Airport,HEL,60.31719971,24.9633007
Hyvink�� Airfield,HYV,60.65439987,24.8810997
Kitee Airport,KTQ,62.1661,30.073601
Ivalo Airport,IVL,68.6072998,27.40530014
Joensuu Airport,JOE,62.66289902,29.60750008
Jyvaskyla Airport,JYV,62.3995018,25.67830086
Kauhava Airport,KAU,63.127102,23.051399
Kemi-Tornio Airport,KEM,65.77870178,24.58209991
Kajaani Airport,KAJ,64.28549957,27.69239998
Kauhajoki Airport,KHJ,62.46250153,22.39310074
Kokkola-Pietarsaari Airport,KOK,63.72119904,23.14310074
Kuusamo Airport,KAO,65.98760223,29.23940086
Kittil� Airport,KTT,67.7009964,24.84679985
Kuopio Airport,KUO,63.00709915,27.79780006
Lahti Vesivehmaa Airport,QLF,61.144199,25.693501
Lappeenranta Airport,LPP,61.044601,28.144743
Mariehamn Airport,MHQ,60.12220001,19.89819908
Mikkeli Airport,MIK,61.6866,27.201799
Oulu Airport,OUL,64.93009949,25.35460091
Pori Airport,POR,61.46170044,21.79999924
Rovaniemi Airport,RVN,66.56479645,25.83040047
Savonlinna Airport,SVL,61.94309998,28.94510078
Sodankyla Airport,SOT,67.39499664,26.61910057
Tampere-Pirkkala Airport,TMP,61.41410065,23.60440063
Turku Airport,TKU,60.51409912,22.26280022
Utti Air Base,UTI,60.89640045,26.93840027
Vaasa Airport,VAA,63.05070114,21.7621994
Varkaus Airport,VRK,62.17110062,27.86860085
Ylivieska Airfield,YLI,64.0547222,24.7252778
Belfast International Airport,BFS,54.65750122,-6.215829849
St Angelo Airport,ENK,54.39889908,-7.651669979
George Best Belfast City Airport,BHD,54.61809921,-5.872499943
City of Derry Airport,LDY,55.0428009,-7.161109924
Birmingham International Airport,BHX,52.45389938,-1.748029947
Coventry Airport,CVT,52.36970139,-1.479719996
Gloucestershire Airport,GLO,51.89419937,-2.167220116
Cotswold Airport,GBA,51.668095,-2.05694
Manchester Airport,MAN,53.35369873,-2.274950027
Newquay Cornwall Airport,NQY,50.44060135,-4.995409966
RAF Lyneham,LYE,51.5051,-1.99343
RNAS Yeovilton,YEO,51.00939941,-2.638819933
Haverfordwest Airport,HAW,51.83309937,-4.961110115
Cardiff International Airport,CWL,51.39670181,-3.343329906
Swansea Airport,SWS,51.6053009,-4.067830086
Bristol Airport,BRS,51.382702,-2.71909
Liverpool John Lennon Airport,LPL,53.33359909,-2.849720001
London Luton Airport,LTN,51.87469864,-0.368333012
Plymouth City Airport,PLH,50.422798,-4.10583
Bournemouth Airport,BOH,50.77999878,-1.842499971
Southampton Airport,SOU,50.95029831,-1.35679996
Lasham Airport,QLA,51.18719864,-1.033499956
Alderney Airport,ACI,49.706104,-2.21472
Guernsey Airport,GCI,49.43500137,-2.601969957
Jersey Airport,JER,49.207901,-2.195509911
Shoreham Airport,ESH,50.835602,-0.297222
London Biggin Hill Airport,BQH,51.3307991,0.032499999
London Gatwick Airport,LGW,51.148102,-0.190278
London City Airport,LCY,51.505299,0.055278
Farnborough Airport,FAB,51.2757988,-0.776332974
Blackbushe Airport,BBS,51.32389832,-0.847500026
London Heathrow Airport,LHR,51.4706,-0.461941
Southend Airport,SEN,51.57139969,0.695555985
Lydd Airport,LYX,50.95610046,0.939167023
Kent International Airport,MSE,51.342201,1.34611
Carlisle Airport,CAX,54.9375,-2.809170008
Blackpool International Airport,BLK,53.77170181,-3.028609991
Humberside Airport,HUY,53.57440186,-0.350832999
Barrow Walney Island Airport,BWF,54.1286111,-3.2675
Leeds Bradford Airport,LBA,53.86589813,-1.660570025
Warton Airport,WRT,53.745098,-2.88306
Hawarden Airport,CEG,53.17810059,-2.977780104
Isle of Man Airport,IOM,54.08330154,-4.623889923
Newcastle Airport,NCL,55.03749847,-1.691669941
Durham Tees Valley Airport,MME,54.50920105,-1.429409981
East Midlands Airport,EMA,52.83110046,-1.328060031
Kirkwall Airport,KOI,58.95780182,-2.904999971
Sumburgh Airport,LSI,59.87889862,-1.295560002
Wick Airport,WIC,58.45890045,-3.093060017
Aberdeen Dyce Airport,ABZ,57.20190048,-2.197779894
Inverness Airport,INV,57.54249954,-4.047500134
Glasgow International Airport,GLA,55.87189865,-4.433060169
Edinburgh Airport,EDI,55.95000076,-3.372499943
Islay Airport,ILY,55.68190002,-6.256669998
Glasgow Prestwick Airport,PIK,55.50939941,-4.586669922
Benbecula Airport,BEB,57.48109818,-7.362780094
Scatsta Airport,SCS,60.43280029,-1.296110034
Dundee Airport,DND,56.45249939,-3.02583003
Stornoway Airport,SYY,58.21559906,-6.331110001
Tiree Airport,TRE,56.49919891,-6.869170189
RAF Leuchars,ADX,56.3728981,-2.868439913
RAF Lossiemouth,LMO,57.7052002,-3.339169979
Cambridge Airport,CBG,52.205002,0.175
Norwich International Airport,NWI,52.67580032,1.282780051
London Stansted Airport,STN,51.88499832,0.234999999
Exeter International Airport,EXT,50.7344017,-3.413889885
Bristol Filton Airport,FZO,51.51940155,-2.590830088
Oxford (Kidlington) Airport,OXF,51.8368988,-1.320000052
RAF Benson,BEX,51.61640167,-1.095829964
RAF Lakenheath,LKZ,52.40930176,0.56099999
RAF Mildenhall,MHZ,52.36190033,0.486405998
RAF Wyton,QUY,52.35720062,-0.107832998
RAF Fairford,FFD,51.68220139,-1.790030003
RAF Brize Norton,BZZ,51.75,-1.58362
RAF Odiham,ODH,51.23410034,-0.942825019
RAF Northolt,NHT,51.5530014,-0.418166995
RAF Coningsby,QCY,53.0929985,-0.166014001
RAF Honington,BEQ,52.34260178,0.772939026
RAF Scampton,SQZ,53.30780029,-0.550832987
RAF Linton-On-Ouse,HRT,54.0489006,-1.252750039
RAF Waddington,WTN,53.16619873,-0.523810983
RAF Marham,KNF,52.648395,0.550692
Mount Pleasant Airport,MPN,-51.82279968,-58.44720078
Amsterdam Airport Schiphol,AMS,52.308601,4.76389
Maastricht Aachen Airport,MST,50.911701,5.77014
Eindhoven Airport,EIN,51.45009995,5.374529839
Eelde Airport,GRQ,53.11970139,6.579440117
Gilze Rijen Air Base,GLZ,51.56740189,4.931829929
De Kooy Airport,DHR,52.92340088,4.780620098
Lelystad Airport,LEY,52.4603,5.52722
Leeuwarden Air Base,LWR,53.22859955,5.760560036
Rotterdam The Hague Airport,RTM,51.956902,4.43722
Soesterberg Air Base,UTC,52.12730026,5.276189804
Twente Airport,ENS,52.275833,6.889167
Valkenburg Naval Air Base,LID,52.16609955,4.41794014
Woensdrecht Air Base,WOE,51.4491,4.34203
Cork Airport,ORK,51.84130096,-8.491109848
Galway Airport,GWY,53.30020142,-8.941590309
Dublin Airport,DUB,53.421299,-6.27007
Ireland West Knock Airport,NOC,53.91030121,-8.818490028
Kerry Airport,KIR,52.18090057,-9.523779869
Shannon Airport,SNN,52.702,-8.92482
Sligo Airport,SXL,54.28020096,-8.599209785
Waterford Airport,WAT,52.18719864,-7.086959839
Aarhus Airport,AAR,56.29999924,10.61900043
Billund Airport,BLL,55.74029922,9.151780128
Copenhagen Kastrup Airport,CPH,55.61790085,12.65600014
Esbjerg Airport,EBJ,55.525902,8.5534
Karup Airport,KRP,56.29750061,9.124629974
L�s� Airport,BYR,57.27719879,11.00010014
Lolland Falster Maribo Airport,MRW,54.699299,11.4401
Odense Airport,ODE,55.47669983,10.33090019
Copenhagen Roskilde Airport,RKE,55.58560181,12.13140011
Bornholm Airport,RNN,55.06330109,14.75959969
S�nderborg Airport,SGD,54.96440125,9.791729927
Skrydstrup Air Base,SKS,55.221048,9.26702
Skive Airport,SQW,56.55020142,9.172980309
Thisted Airport,TED,57.06880188,8.705220222
Vagar Airport,FAE,62.06359863,-7.277219772
Stauning Airport,STA,55.99010086,8.353910446
Aalborg Airport,AAL,57.09275891,9.849243164
Luxembourg-Findel International Airport,LUX,49.6233333,6.2044444
�lesund Airport,AES,62.5625,6.119699955
And�ya Airport,ANX,69.29250336,16.14419937
Alta Airport,ALF,69.97609711,23.37170029
Br�nn�ysund Airport,BNN,65.46109772,12.21749973
Bod� Airport,BOO,67.26920319,14.36530018
Bergen Airport Flesland,BGO,60.29339981,5.218140125
B�tsfjord Airport,BJF,70.60050201,29.69140053
Kristiansand Airport,KRS,58.204201,8.08537
Geilo Airport Dagali,DLD,60.41730118,8.518349648
Bardufoss Airport,BDU,69.05580139,18.54039955
